female	male	rep	MPS	MRS
1	8	1	2.099	0.525
1	9	1	2.741	0.49
1	10	1	2.788	0.658
1	12	1	2.877	0.64
1	13	1	3.265	0.565
1	14	1	3.553	0.841
2	8	1	2.579	0.51
2	11	1	3.054	0.753
2	12	1	3.502	0.704
2	13	1	0.308	0.101
3	8	1	1.577	0.328
3	9	1	2.76	0.575
3	11	1	2.811	0.745
3	12	1	1.784	0.422
3	13	1	1.621	0.445
3	14	1	1.445	0.32
4	8	1	2.684	0.609
4	9	1	3.641	0.848
4	11	1	2.557	0.653
4	12	1	1.46	0.371
4	13	1	1.409	0.367
4	14	1	1.062	0.329
5	8	1	1.34	0.5
5	9	1	1.6	0.606
5	10	1	2.502	0.663
5	11	1	1.91	0.707
5	12	1	2.068	0.485
5	13	1	3.205	0.837
5	14	1	1.973	0.44
6	8	1	1.468	0.276
6	9	1	3.254	0.552
6	10	1	3.535	0.507
6	11	1	3.126	0.717
6	12	1	2.224	0.595
6	13	1	3.262	0.767
7	10	1	1.51	0.443
7	11	1	2.383	0.844
7	12	1	1.025	0.386
7	13	1	1.613	0.846
7	14	1	1.465	0.692
1	8	2	0.676	0.184
1	9	2	2.98	0.688
1	10	2	2.912	0.657
1	12	2	2.885	0.637
1	13	2	2.262	0.757
1	14	2	3.329	0.724
2	8	2	2.477	0.689
2	11	2	2.708	0.629
2	12	2	3.648	0.657
3	9	2	3.015	0.649
3	11	2	2.763	0.845
3	12	2	2.681	0.574
3	13	2	1.678	0.333
3	14	2	1.992	0.462
4	8	2	2.927	0.488
4	9	2	4.698	1.029
4	11	2	2.021	0.419
4	12	2	1.642	0.31
4	13	2	2.285	0.412
4	14	2	1.527	0.182
5	8	2	2.214	0.543
5	9	2	2.647	0.635
5	10	2	2.648	0.58
5	11	2	2.295	0.617
5	12	2	2.863	0.618
5	13	2	2.777	0.644
5	14	2	1.846	0.405
6	8	2	1.514	0.212
6	9	2	3.282	0.622
6	10	2	2.456	0.477
6	11	2	2.843	0.726
6	12	2	3.307	0.695
6	13	2	4.225	0.811
7	10	2	2.694	0.605
7	11	2	2.352	0.533
7	12	2	1.42	0.281
7	13	2	3.432	0.628
7	14	2	2.303	0.48
