Genotype	Block	Site	Plots	y
1	1	1	1	11.8
2	1	1	2	12.2
3	1	1	3	13.2
4	1	1	4	14.6
5	1	1	5	13.4
6	1	1	6	15.9
7	1	1	7	16.7
8	1	1	8	13.4
9	1	1	9	12.4
10	1	1	10	15.8
1	2	1	1	12.7
2	2	1	2	13.6
3	2	1	3	11.8
4	2	1	4	13.9
5	2	1	5	12.5
6	2	1	6	16.4
7	2	1	7	14.4
8	2	1	8	13.5
9	2	1	9	12.8
10	2	1	10	15.2
1	1	2	1	12.6
2	1	2	2	13.7
3	1	2	3	14.2
4	1	2	4	16.5
5	1	2	5	14.3
6	1	2	6	16.2
7	1	2	7	15.4
8	1	2	8	13.2
9	1	2	9	11.7
10	1	2	10	17
1	2	2	1	13
2	2	2	2	12.9
3	2	2	3	15.4
4	2	2	4	15.5
5	2	2	5	13.6
6	2	2	6	15.3
7	2	2	7	15.6
8	2	2	8	14.3
9	2	2	9	13.8
10	2	2	10	16.8
