Geno	T1	T2	T3	T4
1	659.5479023	9.091737871	0.28443317	0.351843834
2	1592.389419	9.159933353	0.251314392	0.948865954
3	1636.020113	9.065085912	0.22400002	0.797678593
4	1180.808021	9.237495462	0.285228522	0.824777045
5	1984.494655	9.221980046	0.229867601	1.180820262
6	1000.426287	9.197137256	0.343865082	0.443236011
7	1379.103678	9.222178361	0.271724354	0.913388442
8	1132.530059	9.131280789	0.260506685	0.493918157
9	2158.326924	9.206614501	0.230224021	1.376228011
10	2479.569408	9.0611868	0.213137698	1.359345436
11	1558.009227	9.101155868	0.220009496	0.851454672
12	1807.172349	9.314339732	0.283369654	1.078082559
13	814.7748826	9.299927097	0.316699269	0.613280578
14	2130.323495	9.197362129	0.228024666	1.236314448
15	1633.905991	9.225232004	0.26261356	1.006992151
16	1811.147829	9.135084502	0.227149325	1.003985126
17	1714.085103	9.258869573	0.248770004	1.142855953
18	2096.691986	9.233544125	0.266982072	1.240810687
19	1831.178217	9.15923056	0.244889928	1.070845466
20	1628.54275	9.35683938	0.279361837	1.160409331
21	1956.977136	9.193385855	0.23586412	1.211856204
22	1437.204834	9.379177699	0.29596243	1.169913552
23	1311.187784	9.048331249	0.234527484	0.67435607
24	2806.308755	8.997951941	0.18496673	1.476133534
25	1908.823308	9.290861273	0.263671866	1.243065685
