   Line      EUN_BN
1   A01 -25.2532658
2   A02  -2.9795046
3   A03 -10.7279906
4   A04   9.7868819
5   A05 -14.6957786
6   A06  -4.2440179
7   A07 -15.3825909
8   A08  19.3513602
9   A09  -0.9292352
10  A10   4.1411850
11  A11 -19.4684789
12  A12   6.3544265
13  B01  -2.3770058
14  B02  14.2093289
15  B03  12.6700662
16  B04   9.2762347
17  B05  -9.3710895
18  B06  19.3036783
19  B07  10.7678679
20  B08  -9.8147931
21  B09 -25.9082851
22  B10   7.9791439
23  B11   6.4813151
24  B12  -2.6784752
25  C01  -9.3487473
26  C02 -10.6143425
27  C03  14.5115046
28  C04  -0.4082329
29  C05  19.3497492
30  C06   4.7493441
31  C07  14.3694128
32  C08  30.5442716
33  C09 -13.6811807
34  C10 -13.9858854
35  C11  -5.9301870
36  C12 -10.8636228
37  D01   4.9134498
38  D02   1.8717091
39  D03   0.5291856
40  D04  -3.8426769
41  D05   3.4931520
42  D06 -12.3677951
43  D07 -24.3474328
44  D08   5.4354962
45  D09   6.5888937
46  D10   5.4974805
47  D11  10.6486445
48  D12  -3.7834903
49  E01  -5.8015267
50  E02 -11.0083132
51  E03  -1.8115772
52  E04   2.7138590
53  E05 -14.1954606
54  E06 -16.3232788
55  E07  20.5614328
56  E08   7.9353365
57  E09  -9.6584533
58  E10 -13.6012256
59  E11   6.3319662
60  E12   5.3367964
61  F01  14.5272347
62  F02  10.2055461
63  F03   6.1060491
64  F04   8.8619376
